# ztsc vs tsgo performance matrix -- generated by bench/matrix.sh, do not hand-edit
# measured_utc	2026-08-10T18:02:39Z
# ztsc_commit	1c0ec4d
# ztsc_tree	clean
# ztsc_binary	/var/folders/_p/yggnz0zd6fd35b9dw9p92ylc0000gn/T//ztsc-matrix-54165/out/bench/ztsc
# tsgo_version	Version 7.0.2
# tsgo_binary	bench/baselines/tsgo/node_modules/@typescript/typescript-darwin-arm64/lib/tsc
# host	Darwin 25.6.0 arm64 / Apple M4 / 10 cores
# lib_runs	9
# app_runs	5
# checkers	1 2 4 8
# timer_floor_ms	1.65
# targets_measured	12
# targets_skipped	1 (vscode)
# total_run_seconds	4228.9
# bars	wall <= 50% of tsgo, peak_rss <= 20% of tsgo
class	key	label	project	parity	tool	checkers	runs	wall_s_median	wall_s_min	wall_s_max	rss_bytes_median	rss_bytes_max	wall_pct_of_tsgo	rss_pct_of_tsgo	exit_code
lib	_types_node_22.7.4	@types/node 22.7.4	bench/corpus/real/_types_node_22.7.4	gated	ztsc	1	9	0.019510	0.018341	0.020121	17530880	17580032	39.0	16.5	1
lib	_types_node_22.7.4	@types/node 22.7.4	bench/corpus/real/_types_node_22.7.4	gated	ztsc	2	9	0.015457	0.014713	0.016167	18612224	18661376	30.9	17.5	1
lib	_types_node_22.7.4	@types/node 22.7.4	bench/corpus/real/_types_node_22.7.4	gated	ztsc	4	9	0.014261	0.013465	0.014593	19464192	19513344	28.5	18.3	1
lib	_types_node_22.7.4	@types/node 22.7.4	bench/corpus/real/_types_node_22.7.4	gated	ztsc	8	9	0.012683	0.012014	0.013684	21725184	22462464	25.4	20.5	1
lib	_types_node_22.7.4	@types/node 22.7.4	bench/corpus/real/_types_node_22.7.4	gated	tsgo	-	9	0.049998	0.048917	0.053191	106086400	107511808	100.0	100.0	2
lib	_types_react_18.3.11	@types/react 18.3.11	bench/corpus/real/_types_react_18.3.11	gated	ztsc	1	9	0.034965	0.033614	0.037320	22315008	22331392	12.9	11.8	1
lib	_types_react_18.3.11	@types/react 18.3.11	bench/corpus/real/_types_react_18.3.11	gated	ztsc	2	9	0.028104	0.026266	0.029305	21495808	21528576	10.4	11.4	1
lib	_types_react_18.3.11	@types/react 18.3.11	bench/corpus/real/_types_react_18.3.11	gated	ztsc	4	9	0.024631	0.022951	0.025824	23707648	25247744	9.1	12.6	1
lib	_types_react_18.3.11	@types/react 18.3.11	bench/corpus/real/_types_react_18.3.11	gated	ztsc	8	9	0.021588	0.019802	0.022647	26558464	27918336	8.0	14.1	1
lib	_types_react_18.3.11	@types/react 18.3.11	bench/corpus/real/_types_react_18.3.11	gated	tsgo	-	9	0.270984	0.264765	0.284400	188334080	201097216	100.0	100.0	2
